step_concurrency,call_index,setup_ok,connect_latency_s,ice_connected_s,first_audio_s,ice_gathering_s,reply_delays_s,unanswered,spoken_over,dropped,error
1,0,True,0.40335140004754066,2.208465600037016,2.6374685000628233,0.11831970000639558,2.736;2.625;2.789;2.905,0,0,False,
2,0,True,0.3187947999686003,2.035390999983065,2.6461027999175712,0.08667800005059689,4.264;6.077;2.634;2.541;2.575,0,0,False,
2,1,True,0.5990065999794751,4.304657500004396,5.220575000043027,0.08954029995948076,6.897;4.616;2.553;2.788,0,0,False,
3,0,True,0.4461874000262469,2.163719299947843,2.779698499944061,0.08895610005129129,11.185,4,1,False,
3,1,False,,,,0.08614499995019287,,0,0,False,"HTTP 504: {""detail"":""Call setup timed out""}"
3,2,True,0.44618219998665154,2.1614684000378475,2.736170499934815,0.08947320003062487,,5,0,False,
5,0,True,0.6403842000290751,8.41613300004974,13.58150139998179,0.10444299993105233,,2,2,False,
5,1,False,,,,0.08906520006712526,,0,0,False,"HTTP 504: {""detail"":""Call setup timed out""}"
5,2,False,,,,0.10359169996809214,,0,0,False,"HTTP 504: {""detail"":""Call setup timed out""}"
5,3,False,,,,0.10169130004942417,,0,0,False,"HTTP 504: {""detail"":""Call setup timed out""}"
5,4,True,0.6368065999122337,8.417386599932797,13.658468500012532,0.103951400029473,,3,1,False,
6,0,False,,,,0.7214458999224007,,0,0,False,"HTTP 504: {""detail"":""Call setup timed out""}"
6,1,True,1.3366226999787614,9.22312249999959,17.311072399956174,0.20208089996594936,,3,1,False,
6,2,False,,,,0.20480740000493824,,0,0,False,"HTTP 504: {""detail"":""Call setup timed out""}"
6,3,False,,,,0.2062074999557808,,0,0,False,"HTTP 504: {""detail"":""Call setup timed out""}"
6,4,False,,,,0.2063320999732241,,0,0,False,"HTTP 504: {""detail"":""Call setup timed out""}"
6,5,True,1.3335047999862581,9.215815299889073,14.719573899987154,0.20466880011372268,,2,2,False,
